patent_id,assignee_id,name,assignee_type
4488683,a9d256f6-26f6-4553-a8ae-1a1bf4de1030,Metal Works Ramat David,3
11872626,3ffdc6b4-9949-4395-9aae-f90cb3a18637,"DIVERGENT TECHNOLOGIES, INC.",2
5856666,bdcc4e9e-662e-4d11-bc1a-7beddcb4e431,U.S. Philips Corporation,2
5204210,4840cedc-7dcd-4aa9-9d62-ee877f7ef128,Xerox Corporation,2
5302149,45778076-46c5-4875-ad40-97b3a381a155,Commonwealth Scientific and Industrial Research Organisation,7
D397841,849a1d8a-9308-40ce-9a86-ba9fda83709b,adidas AG,3
11652542,74c11be2-20ec-49fe-ac26-d839d375bd32,MITSUBISHI ELECTRIC CORPORATION,3
D966936,ea96c059-5267-4b52-ac70-4cd0915c519e,Hyundai Motor Company,3
9104354,dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA,3
6584517,85f958bf-effb-48ff-b21a-64daf060259f,Cypress Semiconductor Corporation,2
4530541,8820c5e4-ce96-4425-8462-77643734534c,Keiper Recaro GmbH & Co.,3
6000175,23a84a9c-1ea8-4165-825f-59a421cf38e5,"Gale Australia Pty, Ltd.",3
6277623,32af5781-1f17-4d64-9a62-521c1f397b70,Korea Institute of Science and Technology,3
6970439,ff25d76a-ea22-40b9-b964-aeb3914ef616,"Motorola, Inc.",2
D519753,84602ba7-5412-413e-8419-edd008120b76,LIBERTY HARDWARE MFG. CORP.,2
8277428,b1688b11-53c4-46e0-951e-4f0a68d7444c,Johnson & Johnson Ind. E Com. Ltda.,3
5145918,0dc86831-8686-4967-a0f1-336eddd8cd49,Dow Corning Corporation,2
8394248,8c3c488c-e5ca-440a-bdd2-31697d75df48,"NGK SPARK PLUG CO., LTD.",3
8709412,724f247d-f06d-4999-bf12-989e3faf18f7,THE CHILDREN'S HOSPITAL CORPORATION,2
6940219,ab02ca9c-5bcf-4acf-bdec-82b74c97c861,SONY ELECTRONICS INC.,2
6791676,581610b2-e9d8-48b1-b2ae-4cc673b9e8f6,Dade Behring Marburg GmbH,3
6221422,14b95532-3183-42dd-8af6-d3b1ebaa8719,Xyrofin Oy,3
6429787,ab103576-f045-4a48-8713-86301a0f9f4c,"Crosslink-D, Inc.",2
