patent_id,assignee_id,name,assignee_type
11872626,3ffdc6b4-9949-4395-9aae-f90cb3a18637,"DIVERGENT TECHNOLOGIES, INC.",2.0
11652542,74c11be2-20ec-49fe-ac26-d839d375bd32,MITSUBISHI ELECTRIC CORPORATION,3.0
D966936,ea96c059-5267-4b52-ac70-4cd0915c519e,Hyundai Motor Company,3.0
9104354,dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA,3.0
10000939,50939cc4-d571-4bdf-9ce5-884ebbbedc41,KwikSpace Guam,2.0
10163871,f03635c8-6b6c-4f2b-bb6c-b52678f56aae,QUALCOMM Incorporated,2.0
10481787,491ed4e9-453a-47a1-99c1-281da294ad84,RENAULT S.A.S.,3.0
12255972,55715b8e-9037-47c9-8e27-a2acf13d6047,Intel Corporation,2.0
10629493,3e28bd09-695c-46ca-9615-15159965a55e,Semiconductor Manufacturing International (Shanghai) Corporation,3.0
D1055183,ad91ccef-31e4-4167-a5f7-0bce362c9ff1,"Coulter Ventures, LLC.",2.0
11620876,4db5a4e3-9d5e-4b15-aa26-f0f5de280e0d,MILESTONE ENTERTAINMENT LLC,2.0
9978004,93f8c962-7a18-45c0-b192-7a141f9a8b6c,"HITACHI, LTD.",3.0
D991733,ade1200b-07aa-45ea-9d0c-f4ac0d415c48,"Zhuhai Kelitong Electronic Co., Ltd.",3.0
10667947,c5df4c94-39b1-4147-8c10-3aadb7c96e2c,"AqueSys, Inc.",2.0
9955153,43b0639e-bcce-4acf-95c8-c823e0193a95,Google Technology Holdings LLC,2.0
10128811,e95e8e24-abc4-48ca-a4e6-533f93c4b054,Tesat-Spacecom GmbH & Co. KG,3.0
12477602,dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA,3.0
11493476,37ba5e07-ee1c-48d0-9bb4-4aa311514c07,"GOVERNMENT OF THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY OF COMMERCE",6.0
10270825,6674b19e-00dc-4dad-8048-ebfc1273f51c,Verizon Patent and Licensing Inc.,2.0
10669583,3cf1d97e-4d20-4ab2-99d5-b6884af195a7,"10x Genomics, Inc.",2.0
10839086,1e1339a0-dae5-482f-ba1c-e9a06b8386e4,JONKER LLC,2.0
9502744,fb59ffef-8e77-4392-827a-a9c35616fb16,CHUNG HUA UNIVERSITY,3.0
