patent_id,inventor_id,name,location_id
D1006496,fl:we_ln:jiang-165,Wenjing Jiang,9d072d42-49af-11ed-9879-1234bde3cd05
12029253,fl:ei_ln:baumker-1,Eiko BÄUMKER,67149e17-49af-11ed-9879-1234bde3cd05
11161990,fl:ma_ln:boudreaux-4,Matthew F. Boudreaux,04726932-16c8-11ed-9b5f-1234bde3cd05
12324454,fl:ro_ln:egnatchik-1,Robert Egnatchik,dba09bb0-16c7-11ed-9b5f-1234bde3cd05
11885288,fl:du_ln:moon-7,Duck Su Moon,75f07306-16c8-11ed-9b5f-1234bde3cd05
11093663,fl:ba_ln:james-7,Barry James,417a6e38-16c8-11ed-9b5f-1234bde3cd05
8977851,fl:le_ln:neitzel-1,Lee Allen Neitzel,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
10761618,fl:ja_ln:files-4,Jace W. Files,1d3ed933-16c8-11ed-9b5f-1234bde3cd05
10263820,fl:st_ln:parkvall-1,Stefan Parkvall,87702064-49af-11ed-9879-1234bde3cd05
10082632,fl:ch_ln:gaal-1,Christopher Gaal,0c2cd20c-16c8-11ed-9b5f-1234bde3cd05
D935390,fl:mo_ln:narasaiah-1,Mohan Narasaiah,68a4ea01-16c8-11ed-9b5f-1234bde3cd05
12354161,fl:hi_ln:takeuchi-48,Hiroto Takeuchi,42f90495-16c8-11ed-9b5f-1234bde3cd05
D1042490,fl:ch_ln:liu-1379,Chaopeng Liu,3b444e27-16c8-11ed-9b5f-1234bde3cd05
10805689,fl:jo_ln:jung-23,Joon-Young Jung,3eb30168-16c8-11ed-9b5f-1234bde3cd05
11585813,fl:mi_ln:artinger-1,Michael A. Artinger,df413f99-16c7-11ed-9b5f-1234bde3cd05
12259564,fl:ed_ln:zizminskas-1,Edvinas ZIZMINSKAS,c31f4b00-16c7-11ed-9b5f-1234bde3cd05
12412163,fl:mi_ln:rector-1,Mindy Dawn Rector,d95c672f-16c7-11ed-9b5f-1234bde3cd05
10808661,fl:hi_ln:tanada-3,Hiroki Tanada,8bf15d99-16c8-11ed-9b5f-1234bde3cd05
12085897,fl:br_ln:brinson-2,Brad D. Brinson,4affd925-16c8-11ed-9b5f-1234bde3cd05
10025433,fl:xu_ln:dong-28,Xue Dong,3b444e27-16c8-11ed-9b5f-1234bde3cd05
11468472,fl:si_ln:chawla-1,Sidakpreet Singh Chawla,8aad0138-16c8-11ed-9b5f-1234bde3cd05
10578989,fl:yu_ln:kawamoto-8,Yuka Kawamoto,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
D754593,fl:fe_ln:wang-87,Feng Wang,35cb4154-16c8-11ed-9b5f-1234bde3cd05
11758627,fl:da_ln:cvoric-1,Dalibor Cvoric,970653b3-16c8-11ed-9b5f-1234bde3cd05
11350577,fl:ha_ln:andersson-10,Hans Andersson,4026c04c-16c8-11ed-9b5f-1234bde3cd05
10601583,fl:wa_ln:feghali-3,Wajdi K. Feghali,0712f582-16c8-11ed-9b5f-1234bde3cd05
9292510,fl:sa_ln:smith-27,Samuel Melvin Smith,9d73fa43-16c8-11ed-9b5f-1234bde3cd05
11447754,fl:br_ln:fox-20,Brian G. Fox,5a83681b-16c8-11ed-9b5f-1234bde3cd05
10755970,fl:ch_ln:liang-25,Chun-Sheng Liang,90e86893-16c8-11ed-9b5f-1234bde3cd05
9819994,fl:aj_ln:luthra-1,Ajay Luthra,1893009c-16c8-11ed-9b5f-1234bde3cd05
10323583,fl:ch_ln:vigild-1,Christian Winge Vigild,2c12fed5-16c8-11ed-9b5f-1234bde3cd05
11574318,fl:jo_ln:edwards-71,Joshua Edwards,8a6e68e9-16c8-11ed-9b5f-1234bde3cd05
10999938,fl:th_ln:tellinghuisen-1,Thomas J. Tellinghuisen,0bf15bf8-16c8-11ed-9b5f-1234bde3cd05
11514766,fl:ro_ln:colwill-2,Robert Jerome Colwill,b4931b33-16c7-11ed-9b5f-1234bde3cd05
12306814,fl:st_ln:stewart-18,Stephen Stewart,bab1d2db-16c7-11ed-9b5f-1234bde3cd05
9177503,fl:sc_ln:myers-6,Scott A. Myers,4affd925-16c8-11ed-9b5f-1234bde3cd05
11772379,fl:hi_ln:kozai-2,Hiroaki Kozai,a13ecd64-16c8-11ed-9b5f-1234bde3cd05
12207663,fl:ye_ln:wu-78,Yejun Wu,3ada708f-16c8-11ed-9b5f-1234bde3cd05
9248238,fl:cy_ln:shovary-1,Cynthia Ann Shovary,f27a6544-16c7-11ed-9b5f-1234bde3cd05
11494246,fl:jo_ln:ellenberger-2,Jonathan Ellenberger,08415320-16c8-11ed-9b5f-1234bde3cd05
10542585,fl:pr_ln:fick-1,Preston Fick,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
9747218,fl:ja_ln:schukat-1,Jan Schukat,3127bc40-16c8-11ed-9b5f-1234bde3cd05
9939993,fl:da_ln:garrett-17,Danny Garrett,e7f3d823-16c7-11ed-9b5f-1234bde3cd05
12050012,fl:an_ln:schulz-5,Anatol Schulz,673d6339-16c8-11ed-9b5f-1234bde3cd05
11994655,fl:xu_ln:bian-8,Xuqi Bian,843f4caa-49af-11ed-9879-1234bde3cd05
10399851,fl:wa_ln:chen-45,Wan-Chun Chen,90e8d862-16c8-11ed-9b5f-1234bde3cd05
D967187,fl:ca_ln:zimmerman-4,Carey W. Zimmerman,e45b4449-16c7-11ed-9b5f-1234bde3cd05
11585320,fl:ja_ln:cassoli-2,Jair CASSOLI,2d1f78b7-16c8-11ed-9b5f-1234bde3cd05
10457690,fl:ke_ln:belyk-1,Kevin M. Belyk,0738232f-16c8-11ed-9b5f-1234bde3cd05
10134082,fl:ro_ln:benkar-1,Rohan Benkar,13f05eea-16c8-11ed-9b5f-1234bde3cd05
D869785,fl:jo_ln:sporn-2,Joseph S. Sporn,92237ca2-16c8-11ed-9b5f-1234bde3cd05
D824799,fl:em_ln:sallard-1,Emmanuelle Sallard,173808ad-16c8-11ed-9b5f-1234bde3cd05
10058892,fl:se_ln:taffler-1,Sean Taffler,17f7f348-16c8-11ed-9b5f-1234bde3cd05
8948801,fl:je_ln:schmidt-12,Jeffrey C. Schmidt,aa1acfad-16c8-11ed-9b5f-1234bde3cd05
11977711,fl:cr_ln:noeldner-1,Craig Andrew Noeldner,5836da24-16c8-11ed-9b5f-1234bde3cd05
10951690,fl:sa_ln:srinivasan-17,Saraswathy Srinivasan,816d2d55-16c8-11ed-9b5f-1234bde3cd05
11444369,fl:yi_ln:tseng-6,Yi-Ling Tseng,907f3ef5-16c8-11ed-9b5f-1234bde3cd05
11041427,fl:yo_ln:matsuda-49,Yoshimoto Matsuda,9df03fac-16c8-11ed-9b5f-1234bde3cd05
10999714,fl:nu_ln:rosly-1,Nur Amalina Rosly,3cad10cf-16c8-11ed-9b5f-1234bde3cd05
10162261,fl:su_ln:lee-469,Su Jin Lee,3eb2eaaa-16c8-11ed-9b5f-1234bde3cd05
D1035611,fl:ta_ln:nara-5,Takashi Nara,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
12038126,fl:th_ln:kaiser-5,Thomas Kaiser,7f4e477f-49af-11ed-9879-1234bde3cd05
10617402,fl:br_ln:tockman-1,Bruce A. Tockman,df618bca-16c7-11ed-9b5f-1234bde3cd05
9268695,fl:ho_ln:simionescu-1,Horia Simionescu,1416e13d-16c8-11ed-9b5f-1234bde3cd05
11231168,fl:ch_ln:li-887,Chao Li,13e81279-16c8-11ed-9b5f-1234bde3cd05
9866824,fl:wi_ln:bruls-8,Wilhelmus Hendrikus Alfonsus Bruls,789bce50-16c8-11ed-9b5f-1234bde3cd05
9223760,fl:wa_ln:malkin-2,Wayne Allan Malkin,c42a857f-16c7-11ed-9b5f-1234bde3cd05
10698738,fl:sh_ln:li-490,Shubo Li,34e9615b-16c8-11ed-9b5f-1234bde3cd05
12352283,fl:hi_ln:nagao-18,Hideki Nagao,0f50cc5f-16c8-11ed-9b5f-1234bde3cd05
10331319,fl:sy_ln:galineau-1,Sylvain P. Galineau,5836da24-16c8-11ed-9b5f-1234bde3cd05
10911193,fl:ji_ln:choi-278,Jinsoo CHOI,1aeb3c64-16c8-11ed-9b5f-1234bde3cd05
9788546,fl:me_ln:siebert-1,Melissa Siebert,e9ec33b0-16c7-11ed-9b5f-1234bde3cd05
D1107634,fl:er_ln:townsend-4,Eric Christopher TOWNSEND,84638e2f-49af-11ed-9879-1234bde3cd05
D725505,fl:ho_ln:jaeschke-1,Horst Jaeschke,cbb300e0-16c7-11ed-9b5f-1234bde3cd05
12312536,fl:st_ln:yu-18,Stephanie Yu,4e49a0a0-16c8-11ed-9b5f-1234bde3cd05
