patent_id,patent_type,patent_date,patent_title,year
10000000,utility,2018-06-19,Coherent LADAR using intra-pixel quadrature detection,2018
10000001,utility,2018-06-19,Injection molding machine and mold thickness control method,2018
10000002,utility,2018-06-19,Method for manufacturing polymer film and co-extruded film,2018
10000003,utility,2018-06-19,Method for producing a container from a thermoplastic,2018
10000004,utility,2018-06-19,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",2018
10000005,utility,2018-06-19,Article vacuum formation method and vacuum forming apparatus,2018
10000006,utility,2018-06-19,Thermoforming mold device and a process for its manufacture and use,2018
10000007,utility,2018-06-19,PEX expanding tool,2018
10000008,utility,2018-06-19,Bracelet mold and method of use,2018
10000009,utility,2018-06-19,Sterile environment for additive manufacturing,2018
10000010,utility,2018-06-19,3-D electrostatic printer using rack and pinion registration system,2018
10000011,utility,2018-06-19,Supports for sintering additively manufactured parts,2018
10000014,utility,2018-06-19,Method for producing thermoplastic foam panels by means of at least two heating elements offset in parallel with each other,2018
10000015,utility,2018-06-19,"Methods for making optical components, optical components, and products including same",2018
10000016,utility,2018-06-19,Film edge sealing device,2018
10000017,utility,2018-06-19,Method for mounting a vortex generator and mounting apparatus for carrying out the method,2018
10000018,utility,2018-06-19,Pull tab design for stretch release adhesive,2018
10000019,utility,2018-06-19,Installation assembly and associated method for forming a bonded joint,2018
10000020,utility,2018-06-19,Method and device for producing areas in a printed object having different coefficients of friction,2018
10000021,utility,2018-06-19,Method for manufacturing three-dimensional shaped object and three-dimensional shaped object obtained by the same,2018
10000022,utility,2018-06-19,Method for processing PAEK and articles manufactured from the same,2018
10000023,utility,2018-06-19,Apparatus and method for forming three-dimensional objects using linear solidification,2018
10000024,utility,2018-06-19,Apparatus and method for control of three-dimensional printing,2018
10000025,utility,2018-06-19,Optimized cross-ply orientation in composite laminates,2018
10000026,utility,2018-06-19,Composite induction consolidation apparatus and method,2018
10000027,utility,2018-06-19,Apparatus and method for reshaping plastic preforms into plastic containers with an automatic changing device for handling parts,2018
10000028,utility,2018-06-19,Mechanical fastening nets and methods of making the same,2018
10000029,utility,2018-06-19,Transmission belt manufacturing method and transmission belt,2018
10000030,utility,2018-06-19,Manufacturing method of pneumatic tire,2018
10000031,utility,2018-06-19,Method for contour shaping honeycomb structures,2018
10000032,utility,2018-06-19,Method for operating a press with an underneath drive and press operated according thereto,2018
10000033,utility,2018-06-19,"Washable, waterproof, sealable and reusable storage bags",2018
10000034,utility,2018-06-19,Envelope Making Plate,2018
10000035,utility,2018-06-19,"Lightweight, high flow hose assembly and method of manufacture",2018
10000036,utility,2018-06-19,High kinetic energy penetrator shielding and high wear resistance materials fabricated with boron nitride nanotubes (BNNTS) and BNNT polymer composites,2018
10000037,utility,2018-06-19,Transparent laminate and protective tool including the same,2018
10000038,utility,2018-06-19,Alloy plate coated material and method of producing alloy plate coated material,2018
10000039,utility,2018-06-19,Multilayer interlayers having high Tg and high modulus,2018
10000040,utility,2018-06-19,"Floor panel, methods for manufacturing laminate panels and method for treating material sheets applied herewith",2018
10000041,utility,2018-06-19,Method for making a decorative multilaminar veneer,2018
10000042,utility,2018-06-19,Tearable polystyrene film laminate for packaging and pouch purposes,2018
10000043,utility,2018-06-19,Multilayer film for resealable packaging having improved resealing,2018
10000044,utility,2018-06-19,"Panel for making furnishings such as doors, boards, tables, furniture or the like",2018
10000045,utility,2018-06-19,"Multilayer tube for fuel transportation, fuel pump module provided with same, use of same, and use of fuel pump module",2018
10000046,utility,2018-06-19,Methods for creating thick laminate structures,2018
10000047,utility,2018-06-19,Method for manufacturing curved liquid crystal display panel,2018
10000048,utility,2018-06-19,Taping tool having improved tape advance,2018
10000049,utility,2018-06-19,Methods and apparatus for applying protective films,2018
10000050,utility,2018-06-19,"Method for the manufacture of a fibre composite component, a reinforcement element and also a fibre composite component",2018
10000051,utility,2018-06-19,System and method for removing three-dimensional printed parts from a platen using inductive heating and gravity,2018
10000052,utility,2018-06-19,Methods for rejuvenating an imaging member of an ink-based digital printing system,2018
10000053,utility,2018-06-19,Web displacer for a printing unit,2018
10000054,utility,2018-06-19,"Sheet-processing machine having a sheet-guiding drum, and method for producing a gripper system",2018
10000055,utility,2018-06-19,Method for operating a printing press,2018
10000056,utility,2018-06-19,Screen printing apparatus and paste kneading method,2018
10000057,utility,2018-06-19,Controlling nozzles in a print head,2018
10000058,utility,2018-06-19,"Liquid ejecting apparatus, drive circuit, and integrated circuit",2018
10000059,utility,2018-06-19,Printing apparatus and transmission cable,2018
10000060,utility,2018-06-19,Liquid ejecting head and liquid ejecting apparatus,2018
10000061,utility,2018-06-19,"Piezoelectric device, liquid ejecting head, and liquid ejecting apparatus",2018
10000062,utility,2018-06-19,Liquid ejecting apparatus,2018
10000063,utility,2018-06-19,Liquid containing member,2018
10000064,utility,2018-06-19,Cartridge having contact parts for fastening cartridge to holder,2018
10000065,utility,2018-06-19,Inkjet printing system having dynamically controlled ink reservoir,2018
10000066,utility,2018-06-19,"Liquid discharge head, liquid discharge device, and liquid discharge apparatus",2018
10000067,utility,2018-06-19,"Ink, inkjet recording method, and inkjet recorded matter",2018
10000068,utility,2018-06-19,Multi-drop inkjet printing apparatus,2018
10000069,utility,2018-06-19,Thermal transfer printer,2018
10000070,utility,2018-06-19,Printer and printer control method,2018
10000071,utility,2018-06-19,"Ribbon feeding apparatus, and tape printing apparatus equipped with the same",2018
10000072,utility,2018-06-19,Printer and printing jig,2018
10000073,utility,2018-06-19,Apparatus and method for printing on a curved glass surface,2018
10000074,utility,2018-06-19,Writing to an electronic imaging substate,2018
10000075,utility,2018-06-19,Multilayer imaging with a high-gloss clear ink layer,2018
10000076,utility,2018-06-19,Drying device and inkjet printer system including drying device,2018
10000078,utility,2018-06-19,Printer apparatus,2018
10000079,utility,2018-06-19,Printing device including holder supporting platen roller through bearings,2018
10000080,utility,2018-06-19,Random wave mask generation,2018
10000081,utility,2018-06-19,Transfer sheet,2018
10000082,utility,2018-06-19,Stamp with built-in leveling feature,2018
10000083,utility,2018-06-19,Thermosensitive recording medium,2018
10000084,utility,2018-06-19,Ink set and recording method,2018
10000085,utility,2018-06-19,Device and method for transferring flowable printing substances onto a printing material,2018
10000086,utility,2018-06-19,Binding device,2018
10000087,utility,2018-06-19,Method for detachable poster hanging and magnetic poster holder device,2018
10000088,utility,2018-06-19,Writing instrument and ink cartridge,2018
10000089,utility,2018-06-19,Multi-color marker,2018
10000090,utility,2018-06-19,Pneumatic radial tire for passenger vehicle,2018
10000091,utility,2018-06-19,Tire comprising a tread made up of several elastomeric compounds,2018
10000092,utility,2018-06-19,Pneumatic tire,2018
10000093,utility,2018-06-19,Tread protection device,2018
10000094,utility,2018-06-19,Heavy duty pneumatic tire,2018
10000095,utility,2018-06-19,Pneumatic tire with dimples on one or both sidewall outer surfaces,2018
10000096,utility,2018-06-19,Pneumatic tire,2018
10000097,utility,2018-06-19,Electrostatic energy generator using tire cord fabric,2018
10000098,utility,2018-06-19,"Tire pressure measurement device, an integrated circuit, a printed circuit board, a method and a computer program for a vehicle to receive data",2018
10000099,utility,2018-06-19,Tire pressure monitoring unit having a two-component housing,2018
10000100,utility,2018-06-19,Piezoelectric based system and method for determining tire load,2018
10000101,utility,2018-06-19,Machine for fitting and removing a tyre and method for operating the machine,2018
10000102,utility,2018-06-19,Tunable compact spring aid,2018
10000103,utility,2018-06-19,Method of controlling a vehicle active suspension system,2018
10000104,utility,2018-06-19,Damper with integrated electronics,2018
10000105,utility,2018-06-19,Ventilation duct for a motor vehicle,2018
10000106,utility,2018-06-19,Heating device for vehicle,2018
10000107,utility,2018-06-19,Vehicle air conditioner,2018
10000108,utility,2018-06-19,Refrigeration cycle device,2018
10000109,utility,2018-06-19,Vehicle air conditioning system,2018
10000110,utility,2018-06-19,Air conditioning system for motor vehicles,2018
10000111,utility,2018-06-19,Garnish and frame molding apparatus and method of producing a vehicle door,2018
10000112,utility,2018-06-19,Pelvic load management using integrated collapsible features in door trim panel,2018
10000113,utility,2018-06-19,Tonneau cover securing mechanism,2018
10000114,utility,2018-06-19,Truck cap with heavy duty mounting rack,2018
10000115,utility,2018-06-19,Method of operating a transmission,2018
10000116,utility,2018-06-19,Fuel filling aperture opening and closing device,2018
10000117,utility,2018-06-19,Filler neck closure assembly,2018
10000118,utility,2018-06-19,Clutch control device for four-wheel-drive vehicle,2018
10000119,utility,2018-06-19,Constant velocity drive assembly,2018
10000120,utility,2018-06-19,Work vehicle,2018
10000121,utility,2018-06-19,Vehicle computer system with transparent display,2018
10000122,utility,2018-06-19,Method for operating parallel auxiliary converters in a rail vehicle,2018
10000123,utility,2018-06-19,Hybrid vehicle,2018
10000124,utility,2018-06-19,"Independent steering, power, torque control and transfer in vehicles",2018
10000125,utility,2018-06-19,Power supply apparatus and method for hybrid vehicle,2018
10000126,utility,2018-06-19,Power-module assembly and method,2018
10000127,utility,2018-06-19,Parallel charging and power supply system for pure electric vehicle,2018
10000128,utility,2018-06-19,Method and apparatus for parking lot metering using activation codes,2018
10000129,utility,2018-06-19,Electric vehicle charging via grid and engine,2018
10000130,utility,2018-06-19,Charging management system and method for charger of electric vehicle,2018
10000131,utility,2018-06-19,Systems for determining relative position and orientation of a vehicle with respect to a charging station,2018
10000132,utility,2018-06-19,Charging indicator light control,2018
10000133,utility,2018-06-19,Systems and methods for identifying an ideal operation frequency for wireless power transfer,2018
10000134,utility,2018-06-19,Wireless charging system for charging vehicular battery,2018
10000135,utility,2018-06-19,Parking assist device,2018
10000136,utility,2018-06-19,Vehicle and charging control method of the vehicle,2018
10000137,utility,2018-06-19,Hybrid vehicle with means for disconnection of a depleted auxiliary battery in order to allow for more rapid main battery charging,2018
10000138,utility,2018-06-19,Cooling device of onboard secondary battery,2018
10000139,utility,2018-06-19,Safety system of fuel cell vehicle and control method for the same,2018
10000140,utility,2018-06-19,Method of controlling air blower of fuel cell vehicle,2018
10000141,utility,2018-06-19,Method and system for controlling fuel cell vehicle,2018
10000142,utility,2018-06-19,Head and neck restraining system,2018
10000143,utility,2018-06-19,Debris catching system for a child seat,2018
10000144,utility,2018-06-19,Hopper transportable in parts and assembly method,2018
10000145,utility,2018-06-19,Air bag system for lifting trailer platforms,2018
10000146,utility,2018-06-19,Adjustable and collapsible apparatus for loading and unloading pickup truck cargo beds,2018
10000147,utility,2018-06-19,Retractable recreational vehicle skirting,2018
10000148,utility,2018-06-19,Strap winding apparatus and method,2018
10000149,utility,2018-06-19,Container-securing device,2018
10000150,utility,2018-06-19,Lighting circuit and vehicle lamp,2018
10000151,utility,2018-06-19,Motor vehicle lighting device,2018
10000152,utility,2018-06-19,External audio alert system and method for vehicular use,2018
10000153,utility,2018-06-19,System for object indication on a vehicle display and method thereof,2018
10000154,utility,2018-06-19,Vehicle camera system having live video indication,2018
10000155,utility,2018-06-19,Method and device for reproducing a lateral and/or rear surrounding area of a vehicle,2018
10000156,utility,2018-06-19,Vehicle mirror mount assembly,2018
10000157,utility,2018-06-19,Controlling dimming of mirrors or displays using dual-function lighting,2018
10000158,utility,2018-06-19,Bag for storing and holding electronic and non-electronic items,2018
10000159,utility,2018-06-19,Storage bin system for a motor vehicle,2018
10000160,utility,2018-06-19,Vehicle article carrier with integrated camera and solar powered lighting,2018
10000161,utility,2018-06-19,Mounting structure for truck box side,2018
10000162,utility,2018-06-19,"Speaker device for vehicle, and vehicle having the speaker device",2018
10000163,utility,2018-06-19,Apparatus and method for restoring a camera mounting to a calibrated position,2018
10000164,utility,2018-06-19,Vehicle camera peripheral,2018
10000165,utility,2018-06-19,Pickup truck mounted toolbox,2018
10000166,utility,2018-06-19,Scoop for a water container built into the dividing wall,2018
10000167,utility,2018-06-19,Wire harness,2018
10000168,utility,2018-06-19,Vehicle electrical system and method for operating a vehicle electrical system,2018
10000169,utility,2018-06-19,"Power control apparatus, vehicle having the same, and method of controlling vehicle",2018
10000170,utility,2018-06-19,Bumper beam with embossed cover,2018
10000171,utility,2018-06-19,Vehicle energy-absorbing device,2018
10000172,utility,2018-06-19,Detecting hazards in anticipation of opening vehicle doors,2018
10000174,utility,2018-06-19,Head protection airbag device,2018
10000175,utility,2018-06-19,Driver airbag cover with emblem,2018
10000176,utility,2018-06-19,Vehicle seat part,2018
10000177,utility,2018-06-19,Airbag module,2018
10000178,utility,2018-06-19,Vehicle curtain airbag device,2018
10000179,utility,2018-06-19,"Airbag, airbag device, and automobile",2018
10000180,utility,2018-06-19,Pedestrian protection airbag device,2018
10000181,utility,2018-06-19,Pretensioner and safety belt assembly including the same,2018
10000182,utility,2018-06-19,Buckle device,2018
10000183,utility,2018-06-19,Belt retractor and method for tightening an unused vehicle belt,2018
10000184,utility,2018-06-19,Webbing take-up device,2018
10000185,utility,2018-06-19,Pressure unit and end fitting having a pressure unit of this type,2018
10000186,utility,2018-06-19,Belt assembly including plus-two-point belt reminder,2018
10000187,utility,2018-06-19,"Vehicle communication system, in-vehicle device, portable device, and computer program",2018
10000188,utility,2018-06-19,Robotic vehicle with integrated mobility enhancement and mast deployment,2018
10000189,utility,2018-06-19,Hydraulic jack retrofit for trailer,2018
10000190,utility,2018-06-19,"Cooling device, and steering bogie and vehicle provided with same",2018
10000191,utility,2018-06-19,Brake system and method for controlling a brake system,2018
10000192,utility,2018-06-19,Electro-mechanical brake for increasing braking force,2018
10000193,utility,2018-06-19,Integrated dynamic brake apparatus,2018
10000194,utility,2018-06-19,"Method, controller and system for monitoring brake operation",2018
10000195,utility,2018-06-19,Bicycle control apparatus,2018
10000196,utility,2018-06-19,Apparatus and method for controlling torque reduction of hybrid electric vehicle,2018
10000197,utility,2018-06-19,Mild hybrid powertrain controls,2018
10000198,utility,2018-06-19,Control system and control method,2018
10000199,utility,2018-06-19,"Hybrid electric vehicle, drive control method and device of the same",2018
10000200,utility,2018-06-19,Torque reserve in a hybrid system,2018
10000201,utility,2018-06-19,Driving mode control method and apparatus of hybrid electric vehicle,2018
