year,patents_granted
1976,70941
1977,69820
1978,70586
1979,52484
1980,66212
1981,71112
1982,63292
1983,62019
1984,72689
1985,77276
1986,77050
1987,89591
1988,84449
1989,102719
1990,99275
1991,106891
1992,107540
1993,109933
1994,113723
1995,113954
1996,121811
1997,124181
1998,163265
1999,169252
2000,176192
2001,184172
2002,184494
2003,187104
2004,181413
2005,157829
2006,196489
2007,182978
2008,185260
2009,192052
2010,244599
2011,248101
2012,277285
2013,303658
2014,327014
2015,326969
2016,334674
2017,352587
2018,341104
2019,392618
2020,390572
2021,363829
2022,360417
2023,350093
2024,373852
2025,378741
